type,written,spoken
hebrew_gender_m,שלך (Read as Masculine),shelcha
hebrew_gender_f,שלך (Read as Feminine),shelach
hebrew_gender_m,לך (Read as Masculine),lecha
hebrew_gender_f,לך (Read as Feminine),lach
hebrew_gender_m,אותך (Read as Masculine),otcha
hebrew_gender_f,אותך (Read as Feminine),otach
hebrew_gender_m,עליך (Read as Masculine),aleicha
hebrew_gender_f,עליך (Read as Feminine),alaich
hebrew_gender_m,אליך (Read as Masculine),eleicha
hebrew_gender_f,אליך (Read as Feminine),elaich
hebrew_gender_m,איתך (Read as Masculine),itcha
hebrew_gender_f,איתך (Read as Feminine),itach
hebrew_gender_m,ממך (Read as Masculine),mimcha
hebrew_gender_f,ממך (Read as Feminine),mimech
hebrew_gender_m,בך (Read as Masculine),becha
hebrew_gender_f,בך (Read as Feminine),bach
hebrew_gender_m,בשבילך (Read as Masculine),bishvilcha
hebrew_gender_f,בשבילך (Read as Feminine),bishvilech
hebrew_gender_m,אצלך (Read as Masculine),etzlecha
hebrew_gender_f,אצלך (Read as Feminine),etzlech
hebrew_gender_m,בעצמך (Read as Masculine),be'atzmecha
hebrew_gender_f,בעצמך (Read as Feminine),be'atzmech
hebrew_gender_m,כמוך (Read as Masculine),kamocha
hebrew_gender_f,כמוך (Read as Feminine),kamoch
hebrew_gender_m,לידיעתך (Read as Masculine),leyedi'at'cha
hebrew_gender_f,לידיעתך (Read as Feminine),leyedi'atech
hebrew_gender_m,ידיעתך (Read as Masculine),yedi'at'cha
hebrew_gender_f,ידיעתך (Read as Feminine),yedi'atech
hebrew_gender_m,דעתך (Read as Masculine),da'at'cha
hebrew_gender_f,דעתך (Read as Feminine),da'atech
hebrew_gender_m,שמך (Read as Masculine),shimcha
hebrew_gender_f,שמך (Read as Feminine),shmech
hebrew_gender_m,רצונך (Read as Masculine),retzoncha
hebrew_gender_f,רצונך (Read as Feminine),retzonech
hebrew_gender_m,שאלתך (Read as Masculine),she'elatcha
hebrew_gender_f,שאלתך (Read as Feminine),she'elatech
hebrew_gender_m,כוונתך (Read as Masculine),kavanat'cha
hebrew_gender_f,כוונתך (Read as Feminine),kavanatech
hebrew_gender_m,תשובתך (Read as Masculine),tshuvatcha
hebrew_gender_f,תשובתך (Read as Feminine),tshuvatech
hebrew_gender_m,זכותך (Read as Masculine),zchutcha
hebrew_gender_f,זכותך (Read as Feminine),zchutech
hebrew_gender_m,אמרת (Read as Masculine),amarta
hebrew_gender_f,אמרת (Read as Feminine),amart
hebrew_gender_m,עשית (Read as Masculine),asita
hebrew_gender_f,עשית (Read as Feminine),asit
hebrew_gender_m,הלכת (Read as Masculine),halachta
hebrew_gender_f,הלכת (Read as Feminine),halacht
hebrew_gender_m,רצית (Read as Masculine),ratzita
hebrew_gender_f,רצית (Read as Feminine),ratzit
hebrew_gender_m,חשבת (Read as Masculine),chashavta
hebrew_gender_f,חשבת (Read as Feminine),chashavt
hebrew_gender_m,הבנת (Read as Masculine),hevanta
hebrew_gender_f,הבנת (Read as Feminine),hevant
hebrew_gender_m,ידעת (Read as Masculine),yadata
hebrew_gender_f,ידעת (Read as Feminine),yadat
hebrew_gender_m,ראית (Read as Masculine),ra'ita
hebrew_gender_f,ראית (Read as Feminine),ra'it
hebrew_gender_m,שמעת (Read as Masculine),shamata
hebrew_gender_f,שמעת (Read as Feminine),shamat
hebrew_gender_m,כתבת (Read as Masculine),katavta
hebrew_gender_f,כתבת (Read as Feminine),katavt
