type,written,spoken
time,11:00,eleven AM
time,01:56,one fifty six AM
number,857793,"eight hundred fifty seven thousand, seven hundred ninety three"
currency,$437.34,four hundred thirty seven dollars thirty four cents
date,11/02/1949,"November second, nineteen forty nine"
decimal,37.478,thirty seven point four seven eight
number,42770,"forty two thousand, seven hundred seventy"
phone,220-666-2514,"two two zero, six six six, two five one four"
decimal,61.810,sixty one point eight one zero
time,07:19,seven nineteen AM
hebrew_gender,שלך (Read as Masculine),shelcha
time,19:01,seven oh one PM
phone,735-951-5810,"seven three five, nine five one, five eight one zero"
date,1919-08-27,"August twenty seventh, nineteen nineteen"
hebrew_gender,תשובתך (Read as Masculine),tshuvatcha
time,14:03,two oh three PM
date,19/12/1970,"December nineteenth, nineteen seventy"
number,175567,"one hundred seventy five thousand, five hundred sixty seven"
decimal,86.641,eighty six point six four one
number,699754,"six hundred ninety nine thousand, seven hundred fifty four"
date,"October 26, 1972","October twenty sixth, nineteen seventy two"
decimal,23.221,twenty three point two two one
time,10:27,ten twenty seven AM
decimal,48.466,forty eight point four six six
date,20/06/1942,"June twentieth, nineteen forty two"
phone,993-841-8751,"nine nine three, eight four one, eight seven five one"
hebrew_gender,ידיעתך (Read as Masculine),yedi'at'cha
currency,$626.85,six hundred twenty six dollars eighty five cents
decimal,10.347,ten point three four seven
time,00:34,twelve thirty four AM
number,103966,"one hundred three thousand, nine hundred sixty six"
hebrew_gender,ידעת (Read as Feminine),yadat
date,1957-12-05,"December fifth, nineteen fifty seven"
phone,913-844-4899,"nine one three, eight four four, four eight nine nine"
currency,$593.11,five hundred ninety three dollars eleven cents
hebrew_gender,עשית (Read as Feminine),asit
time,19:36,seven thirty six PM
decimal,60.25,sixty point two five
time,18:58,six fifty eight PM
currency,$498.17,four hundred ninety eight dollars seventeen cents
decimal,84.921,eighty four point nine two one
decimal,70.480,seventy point four eight zero
time,10:24,ten twenty four AM
time,15:04,three oh four PM
time,15:41,three forty one PM
date,2034-12-02,"December second, twenty thirty four"
hebrew_gender,לידיעתך (Read as Feminine),leyedi'atech
phone,480-371-5523,"four eight zero, three seven one, five five two three"
hebrew_gender,כתבת (Read as Feminine),katavt
currency,$389.13,three hundred eighty nine dollars thirteen cents
number,594533,"five hundred ninety four thousand, five hundred thirty three"
hebrew_gender,לך (Read as Feminine),lach
number,249328,"two hundred forty nine thousand, three hundred twenty eight"
decimal,90.747,ninety point seven four seven
hebrew_gender,בך (Read as Feminine),bach
hebrew_gender,איתך (Read as Masculine),itcha
hebrew_gender,עליך (Read as Feminine),alaich
phone,205-656-7280,"two zero five, six five six, seven two eight zero"
date,08/17/2045,"August seventeenth, twenty forty five"
date,09/04/2029,"April ninth, twenty twenty nine"
time,04:09,four oh nine AM
time,01:04,one oh four AM
time,14:47,two forty seven PM
decimal,83.133,eighty three point one three three
currency,$964.25,nine hundred sixty four dollars twenty five cents
phone,204-685-3025,"two zero four, six eight five, three zero two five"
phone,750-330-1373,"seven five zero, three three zero, one three seven three"
date,"March 14, 1922","March fourteenth, nineteen twenty two"
number,204547,"two hundred four thousand, five hundred forty seven"
hebrew_gender,חשבת (Read as Feminine),chashavt
date,03/24/2005,"March twenty fourth, two thousand five"
time,00:30,twelve thirty AM
hebrew_gender,הלכת (Read as Feminine),halacht
hebrew_gender,דעתך (Read as Feminine),da'atech
date,2000-02-05,"February fifth, two thousand"
decimal,37.846,thirty seven point eight four six
phone,591-435-3194,"five nine one, four three five, three one nine four"
decimal,96.255,ninety six point two five five
phone,234-446-3253,"two three four, four four six, three two five three"
number,965783,"nine hundred sixty five thousand, seven hundred eighty three"
time,16:41,four forty one PM
time,00:25,twelve twenty five AM
phone,404-211-3201,"four zero four, two one one, three two zero one"
date,08/18/2000,"August eighteenth, two thousand"
hebrew_gender,הלכת (Read as Feminine),halacht
number,689379,"six hundred eighty nine thousand, three hundred seventy nine"
decimal,10.364,ten point three six four
number,267818,"two hundred sixty seven thousand, eight hundred eighteen"
number,520085,five hundred twenty thousand eighty five
hebrew_gender,לידיעתך (Read as Feminine),leyedi'atech
decimal,78.692,seventy eight point six nine two
time,12:03,twelve oh three PM
currency,$194.12,one hundred ninety four dollars twelve cents
hebrew_gender,אצלך (Read as Masculine),etzlecha
number,31087,thirty one thousand eighty seven
time,17:07,five oh seven PM
hebrew_gender,רצית (Read as Feminine),ratzit
number,312303,"three hundred twelve thousand, three hundred three"
phone,877-494-6416,"eight seven seven, four nine four, six four one six"
decimal,9.997,nine point nine nine seven
decimal,34.358,thirty four point three five eight
currency,$257.53,two hundred fifty seven dollars fifty three cents
decimal,34.850,thirty four point eight five zero
number,881568,"eight hundred eighty one thousand, five hundred sixty eight"
date,1959-10-02,"October second, nineteen fifty nine"
hebrew_gender,הלכת (Read as Masculine),halachta
date,"February 25, 1908","February twenty fifth, nineteen oh eight"
phone,466-382-1495,"four six six, three eight two, one four nine five"
currency,$735.46,seven hundred thirty five dollars forty six cents
number,882703,"eight hundred eighty two thousand, seven hundred three"
hebrew_gender,אותך (Read as Feminine),otach
time,10:46,ten forty six AM
currency,$623.48,six hundred twenty three dollars forty eight cents
number,582158,"five hundred eighty two thousand, one hundred fifty eight"
currency,$104.17,one hundred four dollars seventeen cents
time,03:48,three forty eight AM
date,10/07/2005,"July tenth, two thousand five"
date,01/17/1937,"January seventeenth, nineteen thirty seven"
currency,$99.11,ninety nine dollars eleven cents
currency,$56.76,fifty six dollars seventy six cents
